,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_conference,away_conference,neutral_site
0,1446,1442,2.0,13.461538461538462,1.331315003846485,0.3876268282744496,0.20901078303924278,9.847822743851781,1.2499800714622775,0.43522303557975117,0.18852591198111007,13.564157449786777,0,2,0
1,1449,1665,2.5,12.600000000000001,1.290190341027988,0.41360266086150493,0.17486050989067334,12.324513661006776,1.2393606105375188,0.4275192793007818,0.22350132222581715,13.328905701156181,10,10,0
2,1542,1480,-10.0,13.75,1.2390189115697647,0.44800633853094673,0.20226513492120893,15.622855660055501,1.2272729811261713,0.39216788891584575,0.21277757379970877,8.339410883966083,0,0,0
3,1684,1522,-24.0,11.303030303030303,1.4418825818780494,0.3778624210855397,0.1855515099464659,9.415842441128394,1.0961520364064241,0.47678672085500673,0.13006557667607965,17.938537642258222,7,7,0
4,1251,1641,16.0,11.925925925925926,1.238476313561576,0.4371218348172246,0.19782693183524783,13.253949162328107,1.422500985615556,0.36213447743010835,0.23854306315039303,5.755227179643776,4,7,0
5,1585,1202,-30.0,11.820512820512821,1.237357068691863,0.40815640943863113,0.22093277318940763,6.990014922735688,1.130036562242359,0.4657849787537232,0.15766638386887183,12.961968857454908,9,6,0
6,1831,1750,-2.5,12.225,1.2013609517639785,0.4168443273333457,0.21960987782310876,10.426777227809216,1.26304957746858,0.4678882347838278,0.17790599625850545,17.59467060470239,2,2,0
7,1667,1833,7.5,13.86111111111111,1.3018907207701145,0.40580710776842105,0.20686867375257578,12.159779099403632,1.2452907355097134,0.39111960329287593,0.1998991304970974,9.507497067301015,0,0,0
8,2065,1605,-17.0,12.2,1.2990692595160063,0.3307138187262883,0.23045999627056493,0.3094772180137953,1.219295499133762,0.46564799741482577,0.16828156268824146,16.764851998575708,3,3,0
9,1549,1405,-7.0,12.347826086956522,1.2116629926535942,0.39112097104495513,0.2122682625397448,6.227948381412394,1.1787729332118426,0.45691898682064885,0.17265122217473217,15.703053389611378,9,9,0
10,1324,1264,-7.5,13.0,1.160625338558551,0.5045672151692319,0.17165286555984868,21.976367725961506,1.2299418741419268,0.3667867413340335,0.2069759145672977,4.210336517730133,2,0,0
11,1660,1505,1.5,13.628571428571428,1.3631229755863985,0.4361596263033354,0.18687681018171776,16.607840670138636,1.339642947020736,0.42848626572229465,0.20513751558726454,16.230406207796623,1,2,0
12,1377,1336,-6.0,12.40625,1.1209669540112255,0.46547617101932004,0.1401893089585611,15.949792454135752,1.2529620051320451,0.43480393482141977,0.21123166400174143,12.063023475583519,6,6,0
13,1497,1255,-14.0,12.842105263157896,1.3074305372180455,0.41318835328362447,0.2031262141857236,11.488092610772624,1.4077450695447258,0.45840229921015974,0.20291460961974497,20.970049077702328,0,1,0
14,2156,1252,-46.0,11.384615384615385,1.1291375331459723,0.3625956713948564,0.20091104598725804,2.159237905811855,1.2627911561626861,0.4769578270161862,0.20229717860189858,18.80876971929601,9,6,0
15,1815,1483,-26.5,13.08695652173913,1.2155887556004397,0.364187207427753,0.22557165216751454,3.9255341267658346,1.3176276484088807,0.4365155646308647,0.22086266328133006,14.74743836857267,3,6,0
16,1194,1682,21.5,12.864864864864865,1.2920971064378155,0.4118650667467985,0.17984712432695837,10.731394898292697,1.1550500361001732,0.4296812932981096,0.1999396436920982,12.909884097167483,8,8,0
17,1037,909,-9.0,12.82857142857143,1.2526657797102714,0.38404916660940897,0.2312438945023905,7.91740472348699,1.2442627303021396,0.40280364841508515,0.21109145260471832,9.88414808209605,1,5,0
18,1575,1784,-1.0,12.81081081081081,1.2200915392352913,0.4433121788246931,0.16074560998467444,14.544653031278283,1.357346672229672,0.4514772909387318,0.20158570802240736,18.959036549621644,0,5,0
19,1519,1752,6.5,13.31578947368421,1.2935727522867146,0.4510625764386937,0.17274482136114133,20.773375492870194,1.2934489473958068,0.4632040652402802,0.18408146659337818,20.787505965721444,2,2,0
20,1870,1559,-11.0,12.565217391304348,1.162342629377317,0.4303151384426652,0.17736454842921026,13.293673325065582,1.2664856859518128,0.4155577671481703,0.22012286066142553,10.37702789095425,9,9,0
21,1817,1349,-17.0,12.542857142857143,1.141920145824042,0.3890515662203029,0.18927467417285546,4.26544511868507,1.2833552232695322,0.45734463084815796,0.16244263386453192,17.199844947153792,1,3,0
22,1589,1357,-25.5,12.763157894736842,1.308884661583682,0.39639655269691537,0.24538304138430214,8.924102569242514,1.3093941656018153,0.4201751788630064,0.22170952410930048,13.680885453223373,0,4,0
