,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_conference,away_conference,neutral_site,home_team_cover_spread
3978,1908,1912,2.0,16.0,1.0583598552856115,0.3,0.2333333333333333,-12.087577927711644,1.5321802937249271,0.3620689655172414,0.3333333333333333,14.547316703647429,3,3,0,1
3979,1764,1757,-3.0,13.0,1.47539240811073,0.6266666666666667,0.1481481481481481,52.69748993371144,1.4482660317498426,0.4067796610169492,0.3333333333333333,11.95942489448158,0,0,0,0
3980,1556,1530,6.5,12.0,1.0350354111268136,0.4578313253012048,0.1818181818181818,18.82301288239812,1.4286047904986765,0.3846153846153846,0.4285714285714285,9.504649607850665,1,1,0,1
3981,1659,1623,6.0,13.0,1.6648745117414498,0.4675324675324675,0.1777777777777777,26.96428853001817,0.8091519655384939,0.2923076923076923,0.2857142857142857,-13.8075320858324,2,2,0,0
3982,1113,1479,14.5,14.0,1.22216117023729,0.5555555555555556,0.1428571428571428,25.98755517454176,1.411001314982781,0.3,0.2666666666666666,-2.730279772482062,9,9,0,0
3983,1232,1243,-3.0,15.0,1.2294776855256777,0.4210526315789473,0.2,14.377694087935502,1.5300586505468603,0.492063492063492,0.2195121951219512,29.478466137799344,0,0,0,1
3984,1521,1729,9.5,13.0,1.4371563525476512,0.3472222222222222,0.3414634146341463,5.1479308088681535,1.4005818257022593,0.3389830508474576,0.125,5.662700402091577,10,10,0,1
3985,1591,1701,9.5,12.0,0.9058800771991162,0.3857142857142857,0.225,-1.6394271796495383,1.4969722457846766,0.1525423728813559,0.2424242424242424,-7.901206878045445,7,7,0,1
3986,1891,1743,-23.0,14.0,1.158882927296292,0.3953488372093023,0.1666666666666666,14.50221851314831,1.449293196379047,0.5138888888888888,0.1428571428571428,18.222135379033947,9,9,0,0
3987,1621,1437,-21.5,13.0,1.2394451945897853,0.2876712328767123,0.1875,1.9525914437954632,1.818819431024551,0.4897959183673469,0.1176470588235294,29.95743747101078,2,4,0,1
3988,1461,1804,5.5,13.0,1.080628248143656,0.3823529411764705,0.1111111111111111,5.697776801160822,1.1209175129764908,0.3134328358208955,0.1,-3.5737739249004346,9,9,0,0
3989,1526,1698,3.5,14.0,1.1007842691421228,0.5,0.2666666666666666,16.707186925517416,1.4505119008864134,0.4615384615384615,0.3170731707317073,26.57951218391857,8,8,0,0
3990,1506,1559,-3.0,12.0,1.423123326405337,0.3880597014925373,0.1111111111111111,1.0316098915643563,1.4151520131268265,0.4328358208955223,0.2222222222222222,19.355843201576413,0,0,0,1
3991,1427,1481,2.5,11.0,1.2852160114947169,0.5,0.2941176470588235,18.37026928477331,1.243991595287447,0.5,0.1351351351351351,22.53192732567556,8,8,0,0
3992,1950,1618,-16.5,9.0,1.1603808837648757,0.4210526315789473,0.2045454545454545,3.583352415321008,1.396048782104186,0.4814814814814814,0.2222222222222222,22.0816471773063,5,7,0,0
3993,1172,1489,14.5,12.0,1.4929163745382874,0.4696969696969697,0.25,17.548943473608958,1.6590973165138474,0.4393939393939394,0.0666666666666666,29.892368290739523,7,7,0,1
3994,1398,1149,-18.5,14.0,1.2289440002250938,0.4615384615384615,0.1714285714285714,11.897854296316824,1.2826069354228324,0.4358974358974359,0.073170731707317,20.11756652848812,7,7,0,0
3995,1582,1506,-4.5,13.0,1.3536491650952036,0.3972602739726027,0.16,15.635680361419176,1.294729635907584,0.2745098039215686,0.1481481481481481,4.7866910033874825,4,4,0,0
3996,1747,1504,-12.5,13.0,1.1528367734031175,0.4430379746835443,0.1162790697674418,15.122475942648698,1.2374141100239535,0.4366197183098591,0.1034482758620689,7.4981242942368835,6,6,1,0
3997,1340,1504,6.5,12.0,1.3914477097915043,0.4941176470588235,0.2222222222222222,27.062897692692385,1.552143902895023,0.2692307692307692,0.2758620689655172,-3.668345675642487,3,3,0,0
3998,1695,1833,-3.0,11.0,1.149643214886208,0.3859649122807017,0.1842105263157894,3.349769097391816,1.2618495532950067,0.4177215189873418,0.16,12.163282752766111,8,8,0,0
3999,2119,1643,-16.5,12.0,1.1213540707483054,0.4,0.3333333333333333,-0.9949772561734744,1.031824569322906,0.5571428571428572,0.0975609756097561,11.563348222739194,3,3,1,0
4000,1504,1820,13.5,9.0,0.8567914803776606,0.620253164556962,0.2340425531914893,24.77275781787241,1.84408616361955,0.3513513513513513,0.2666666666666666,1.791598805632767,9,9,0,0
4001,1899,1961,5.5,14.0,1.077369967086888,0.4375,0.2068965517241379,8.740275212636494,1.171517430088317,0.4225352112676056,0.2142857142857142,11.388768954801307,2,2,1,0
4002,1685,1541,-11.5,16.0,1.1932626562659134,0.4461538461538462,0.3181818181818182,4.112378290931216,1.685344857005225,0.3866666666666666,0.2222222222222222,25.70439172754939,8,8,0,1
4003,1573,1677,2.5,8.0,1.327065024317378,0.425,0.0769230769230769,7.792396857885365,0.895911387431561,0.4305555555555556,0.1,6.203814387541919,5,7,0,1
4004,1460,1558,1.5,13.0,1.2148659082181723,0.4492753623188406,0.2068965517241379,6.320665380837864,1.0605239675973863,0.5454545454545454,0.1153846153846153,14.8863790522915,9,9,0,1
4005,1757,1598,1.0,16.0,1.452551864993945,0.4864864864864865,0.1777777777777777,23.561382965513317,1.3344986543664683,0.4361702127659574,0.1904761904761904,22.256870666541943,9,9,0,1
4006,1962,2191,11.0,11.0,1.5618884582407926,0.5,0.04,25.19360835685185,1.3562535271514928,0.3448275862068966,0.32,-0.981530273292287,5,0,1,0
4007,1862,1626,-10.5,11.0,1.3026284313066392,0.3898305084745763,0.2727272727272727,5.1261336250844645,1.1115010734988506,0.3859649122807017,0.1290322580645161,6.542480396539979,3,3,0,0
4008,1513,1708,6.5,13.0,1.2779189615962387,0.3076923076923077,0.238095238095238,-3.1462264377835965,1.455675593624104,0.3896103896103896,0.4782608695652174,11.18062728938607,7,7,1,1
4009,1691,1399,-16.0,15.0,1.407535717824371,0.3,0.2857142857142857,-2.797260975984585,1.1843127241417288,0.5822784810126582,0.0851063829787234,39.64050086993068,3,3,0,1
4010,1529,1482,-6.5,12.0,1.2044536796199456,0.5662650602409639,0.1176470588235294,25.95087960412016,1.4484742874585064,0.4794520547945205,0.1875,29.881137910804974,8,8,0,0
4011,1877,2351,16.0,12.0,1.18264928898082,0.5662650602409639,0.131578947368421,30.87643726297445,1.5880001873269824,0.4848484848484848,0.1363636363636363,26.575910713136263,9,9,1,1
4012,1935,1539,-13.5,12.0,1.181304258846657,0.4328358208955223,0.1142857142857142,9.97751631513082,1.5152983876217745,0.3636363636363636,0.1944444444444444,11.575561153926468,1,1,0,0
4013,1426,1712,7.5,12.0,1.563220659903222,0.4561403508771929,0.0952380952380952,26.307723507412007,1.355031691798714,0.4567901234567901,0.1875,26.183533141047945,8,8,0,0
4014,1392,1503,6.5,12.0,1.435770985316699,0.4225352112676056,0.1764705882352941,22.780007895766072,1.036278732003083,0.4477611940298507,0.2,4.168399101860473,3,3,0,1
4015,1465,1223,-27.5,14.0,1.1265764386991255,0.1639344262295081,0.2142857142857142,-24.190332351157185,1.1804460044761187,0.4935064935064935,0.2105263157894736,22.39085388713085,7,5,0,1
4016,1517,1466,-17.5,14.0,1.0747619288774797,0.3378378378378378,0.3684210526315789,-3.577490245554114,1.4071743963765408,0.4153846153846154,0.1666666666666666,14.661308341732258,8,7,0,1
4017,1261,1222,9.5,12.0,1.4070263512706571,0.417910447761194,0.0652173913043478,21.68773499202723,1.2409789617557525,0.2465753424657534,0.1470588235294117,-13.914594242411953,5,4,0,0
4018,1648,1602,-6.5,13.0,1.3166618994864954,0.3538461538461538,0.5,8.26154461396431,1.305678828833256,0.4705882352941176,0.0869565217391304,19.00813196901153,1,7,0,0
4019,1659,1403,-9.0,11.0,1.698091470080524,0.3538461538461538,0.25,12.684377924109029,1.3270449359421648,0.5396825396825397,0.1714285714285714,22.300215167649345,10,1,0,1
4020,1460,1251,-19.0,12.0,1.0808932283859096,0.296875,0.1290322580645161,-0.889600310559238,1.4171602752938783,0.5303030303030303,0.0769230769230769,29.477868413803165,0,1,0,1
4021,1489,1041,-37.0,13.0,0.848854372574451,0.3666666666666666,0.1904761904761904,-1.8231091768617675,0.9027441488553032,0.5172413793103449,0.0327868852459016,16.81535884141304,9,6,0,0
4022,1585,1905,14.0,10.0,1.6486746797066207,0.5,0.0384615384615384,26.95365969751683,1.424426879568491,0.4027777777777778,0.1702127659574468,4.770578086228729,3,3,0,0
4023,1535,1725,5.5,11.0,1.442078034617489,0.3870967741935484,0.125,5.364593373260043,0.8904596978832569,0.5245901639344263,0.2439024390243902,7.770801338239766,0,0,0,1
4024,1366,1295,6.5,13.0,1.47161917030636,0.5294117647058824,0.1052631578947368,31.00061133336172,1.5921834091364446,0.4057971014492754,0.3076923076923077,23.39274522455893,4,0,0,1
4025,1519,1303,-32.5,13.86111111111111,1.3018907207701145,0.405807107768421,0.2068686737525757,12.159779099403632,1.2452907355097134,0.3911196032928759,0.1998991304970974,9.507497067301015,0,4,0,0
4026,1639,1424,-3.0,11.0,1.7125968616585554,0.4677419354838709,0.2058823529411764,29.6248958317198,1.2414566022647813,0.3950617283950617,0.1764705882352941,12.402233470073304,3,3,0,0
4027,1875,1597,-31.0,11.0,1.6301354248047917,0.3676470588235294,0.28,13.812401853823618,0.87142823490198,0.4032258064516129,0.3333333333333333,-6.808399356400477,2,1,0,0
4028,1393,1304,-14.0,15.0,1.4310616997684076,0.2741935483870967,0.1212121212121212,-7.295797573368777,0.9421069769411388,0.5063291139240507,0.0,22.751608656780792,3,1,0,1
4029,1550,1101,-31.0,13.0,1.2732043252776126,0.2222222222222222,0.3513513513513513,-16.721495030946897,1.4756543746239834,0.5,0.0344827586206896,28.04666262550912,9,10,0,1
4030,1447,1491,-3.0,9.0,1.4768871052636845,0.3269230769230769,0.2222222222222222,3.991559152723993,1.6044621061797948,0.4,0.1428571428571428,12.53725280436529,2,8,1,1
4031,1591,1510,-16.5,11.0,1.2402005672227046,0.3623188405797101,0.125,7.853896821436665,1.5938079003091263,0.5344827586206896,0.0952380952380952,37.96497694402396,3,6,0,1
4032,1410,1549,-2.5,10.0,1.1620248204040464,0.5094339622641509,0.1224489795918367,20.66582889688045,0.9783078626998032,0.4642857142857143,0.0714285714285714,6.368234492872661,10,5,0,0
4033,1745,1668,-5.5,12.0,1.4964205872117349,0.32,0.25,6.872093962108575,0.9042632870188518,0.4382022471910112,0.2264150943396226,2.6109968215526926,3,3,0,0
4034,1698,1566,-19.5,12.0,1.2042883846786707,0.4507042253521127,0.24,15.766551417285164,1.0288928927199277,0.4657534246575342,0.217391304347826,8.366728029412908,8,7,0,0
4035,1417,1447,-19.5,15.0,1.0976629945681595,0.3066666666666666,0.2631578947368421,-6.850569892912537,1.058980836678344,0.4769230769230769,0.1463414634146341,15.56972741646112,9,4,0,1
4036,1805,1650,-3.5,14.0,1.0604667567090027,0.28125,0.2333333333333333,-19.347256165597063,1.0778170074759097,0.4333333333333333,0.1875,7.0472308270111,3,3,0,1
4037,1607,2099,19.5,12.0,1.357378910738685,0.5,0.1944444444444444,26.18740113697515,1.0441242206517851,0.365079365079365,0.2592592592592592,0.3538914519306233,0,9,1,0
4038,1784,1426,-22.5,12.0,1.595262511122285,0.2328767123287671,0.1363636363636363,-10.028453239854272,1.4294344701341088,0.6140350877192983,0.1379310344827586,29.1745281796568,1,6,0,1
4039,1380,1549,2.5,13.0,1.40452389180442,0.4032258064516129,0.2222222222222222,1.538807271928453,1.1653671899798257,0.45,0.238095238095238,17.185497830781994,3,2,0,1
4040,1380,1535,3.0,13.0,1.183884368769666,0.5806451612903226,0.1333333333333333,25.99516725483897,1.1202136507985323,0.358695652173913,0.0746268656716417,1.9333701363453537,1,4,0,0
4041,1543,1061,-37.5,9.0,0.9802478464399692,0.16,0.25,-3.3775574025257,1.55292168530334,0.5161290322580645,0.2307692307692307,13.880021518689718,0,5,0,1
4042,1503,1438,-14.0,13.0,1.641278815494913,0.3928571428571428,0.2068965517241379,19.658339742259543,1.4030947617366032,0.3970588235294117,0.3235294117647059,9.15420758231811,9,6,0,0
4043,1513,1337,-20.5,15.0,1.6517757885060302,0.35,0.1666666666666666,12.917213388936611,1.1291308940092843,0.578125,0.1764705882352941,21.88166216791427,9,4,0,0
4044,1767,1645,-8.5,10.0,1.1476681943788032,0.4769230769230769,0.12,13.886308490499417,1.621634749866873,0.4264705882352941,0.1538461538461538,27.32489741578905,2,10,0,1
4045,1628,1513,-14.0,12.428571428571429,1.305477806045224,0.4141378037896905,0.1712278433960472,11.526405459461936,1.218550693832118,0.4870931349101646,0.1762975012282953,19.518195424821396,8,7,0,1
4046,1495,1455,-2.5,12.0,1.4112433222209704,0.4693877551020408,0.0909090909090909,16.252061108568487,1.3628393988729448,0.3424657534246575,0.34375,1.196918809792722,1,2,1,0
4047,1269,1525,13.5,11.0,1.0400510004034762,0.4705882352941176,0.0909090909090909,18.50959835146259,1.1677876647760084,0.3529411764705882,0.0769230769230769,6.234851461490572,10,2,0,1
4048,1665,1103,-37.0,11.0,1.4097444459943154,0.3287671232876712,0.15625,13.66352322546808,1.247167272345898,0.7096774193548387,0.0285714285714285,48.427794646910016,9,6,0,1
4049,1564,1358,-2.0,12.35483870967742,1.316607400928849,0.4031895508144349,0.2192576221027624,13.208156767238489,1.2188982603275524,0.482509243603127,0.1929423173308881,18.4071783911095,6,0,0,0
4050,1470,1449,-7.0,13.0,1.3039473550374654,0.352112676056338,0.1333333333333333,8.364616708407677,1.118659451605077,0.4074074074074074,0.064516129032258,12.181130745185612,3,8,0,1
4051,1370,1304,-19.0,11.875,1.200216161249395,0.4654702580977743,0.1715032891746712,15.21913690165232,1.314695449527351,0.4132745114574067,0.2013789813814216,11.652061452827912,0,6,0,0
4052,1700,1505,-23.5,11.0,1.332353934433799,0.373134328358209,0.1333333333333333,9.031101111956492,1.2863375712152652,0.5,0.0222222222222222,25.36238734780365,9,4,0,0
4053,1942,1800,-2.5,10.0,0.8187890872736986,0.3442622950819672,0.1666666666666666,-1.3350706019312897,1.26207368209521,0.2666666666666666,0.125,-17.070103920668117,0,9,1,0
4054,1411,1445,-4.5,12.0,1.1470312979393118,0.4743589743589743,0.0425531914893617,25.059690058917585,1.2467387218569583,0.44,0.09375,21.046659083632026,3,4,0,0
4055,1745,1441,-29.5,14.0,1.1309081249549826,0.3698630136986301,0.15,-9.324835313956754,1.2623277551383023,0.5466666666666666,0.125,21.909111886700043,9,6,0,1
4056,1266,1360,-2.0,10.0,1.4383853728160607,0.3943661971830985,0.2857142857142857,15.726044562717757,1.4008125290427442,0.5074626865671642,0.1842105263157894,25.7609406344617,10,4,0,1
4057,1605,1671,2.0,12.0,1.480325324142254,0.4057971014492754,0.1363636363636363,13.602670490036152,1.5941370685667615,0.4603174603174603,0.2558139534883721,24.87672852387881,8,9,0,1
4058,1278,1837,13.5,12.0,1.3841549828911897,0.4193548387096774,0.2580645161290322,15.453334657559497,0.8766608947481482,0.5119047619047619,0.0,8.922196808564237,8,5,1,1
4059,1578,1182,-31.0,16.0,0.8696460649671967,0.388235294117647,0.3636363636363636,-3.9466830411614775,1.215017485925611,0.3870967741935484,0.1282051282051282,3.071933956278034,7,5,0,0
4060,1461,1488,-3.0,12.0,1.4663766192088366,0.390625,0.25,11.97646828334796,0.8935404526338041,0.4696969696969697,0.0,14.226221294398297,8,7,0,0
4061,1511,1319,-17.0,11.0,1.257407176887101,0.4428571428571428,0.1351351351351351,19.84208158892711,1.2418010242452673,0.4545454545454545,0.3478260869565217,12.04887725648381,8,7,0,0
4062,1355,1783,7.5,15.0,1.654893013536194,0.3857142857142857,0.2258064516129032,16.31593624315536,1.6954423553930056,0.3513513513513513,0.1395348837209302,21.20204193964201,0,5,0,1
4063,1576,1559,-9.0,9.0,1.3878998184165003,0.4931506849315068,0.1714285714285714,29.922379906238145,1.9429629038638463,0.5223880597014925,0.1842105263157894,50.929988758896506,9,0,1,1
4064,1636,1161,-27.0,11.0,1.8280365207158864,0.3478260869565217,0.1875,3.520909433719367,0.9758536348434088,0.6666666666666666,0.0789473684210526,30.988795108541943,10,2,0,1
4065,1599,1301,-25.0,14.0,1.2652395122653783,0.3125,0.2972972972972973,-2.2084565153602345,1.2722037765970773,0.5,0.2121212121212121,18.346525233242957,7,4,0,1
4066,1509,1400,-10.5,13.0,1.030975148232198,0.4027777777777778,0.0,4.643719554383468,1.354186242409559,0.5138888888888888,0.0,29.791903903592637,0,3,0,1
4067,1625,1399,-6.0,9.0,1.5379183107443366,0.5254237288135594,0.25,25.31125343325713,0.8776878075780343,0.5833333333333334,0.0757575757575757,22.226537969953384,5,4,0,0
